Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
ALEMBICLTD,,223562,,,,ILLIQUID
ALKALI,,58644,,,,ILLIQUID
ALIVUS,,90441,,,,ILLIQUID
ALKEM,,156005,,,,ILLIQUID
ALKYLAMINE,,471391,,,,ILLIQUID
ALLCARGO,,3680500,,,,ILLIQUID
ALLDIGI,,8494,,,,ILLIQUID
ALLTIME,,67157,,,,ILLIQUID
ALMONDZ,,86748,,,,ILLIQUID
ALOKINDS,,8972306,,,,ILLIQUID
ALPA,,18532,,,,ILLIQUID
ALPHA,,1519148,,,,ILLIQUID
AMAGI,,167378,,,,ILLIQUID
AMBALALSA,,108174,,,,ILLIQUID
AMBICAAGAR,,3838,,,,ILLIQUID
AMDIND,,17420,,,,ILLIQUID
AMBIKCO,,22501,,,,ILLIQUID
AMIRCHAND,,531712,,,,ILLIQUID
AMNPLST,,48593,,,,ILLIQUID
AMJLAND,,13158,,,,ILLIQUID
ANANDRATHI,,453517,,,,ILLIQUID
AMRUTANJAN,,38567,,,,ILLIQUID
ANANTRAJ,,3014716,,,,ILLIQUID
ANDHRAPAP,,72008,,,,ILLIQUID
ANDHRSUGAR,,457723,,,,ILLIQUID
ANGELONE,,8129356,,,,ILLIQUID
ANKITMETAL,,45478,,,,ILLIQUID
ANMOL,,32804,,,,ILLIQUID
ANSALAPI,,23119,,,,ILLIQUID
ANTELOPUS,,169670,,,,ILLIQUID
ANTGRAPHIC,,241607,,,,ILLIQUID
ANTHEM,,542583,,,,ILLIQUID
ANUHPHR,,60251,,,,ILLIQUID
ANUP,,29629,,,,ILLIQUID
ANURAS,,403099,,,,ILLIQUID
AONETOTAL,,228174,,,,ILLIQUID
APARINDS,,103561,,,,ILLIQUID
APCL,,7794,,,,ILLIQUID
APEX,,564898,,,,ILLIQUID
APCOTEXIND,,192549,,,,ILLIQUID
APLAPOLLO,,778303,,,,ILLIQUID
APLLTD,,172650,,,,ILLIQUID
APOLLO,,32374273,,,,ILLIQUID
APOLLOHOSP,,483469,,,,ILLIQUID
APOLLOTYRE,,2039542,,,,ILLIQUID
APOLLOPIPE,,560448,,,,ILLIQUID
APTUS,,2055757,,,,ILLIQUID
AQYLON,,4168815,,,,ILLIQUID
ARCHIDPLY,,16357,,,,ILLIQUID
ARE&M,,1303358,,,,ILLIQUID
ARCHIES,,19873,,,,ILLIQUID
ARFIN,,2832906,,,,ILLIQUID
ARIHANT,,6988,,,,ILLIQUID
ARIS,,1466426,,,,ILLIQUID
