Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
CGPOWER.NS,6.44,6.69,20.83,33.47,-14.39,0.3825,54.46,28.413999999999994,87.5,88.66
ARISTO.NS,-3.61,-6.95,32.58,26.09,-36.19,0.4362,74.69,28.686,59.81,88.66
ONESOURCE.NS,2.0,1.27,21.0,43.37,-19.0,0.5334,39.37,34.422,81.31,88.59
EXIDEIND.NS,16.48,13.32,23.85,26.4,-7.37,0.3288,72.54,25.38,80.29,88.55
SHEETAL.NS,5.0,13.43,19.25,32.65,-14.25,0.3388,56.82,27.29,96.37,88.53
SANGHVIMOV.NS,-3.94,9.13,20.11,45.88,-24.05,0.5464,36.8,35.572,83.97,88.49
SILKFLEX.NS,-17.33,-14.16,23.24,43.02,-40.57,0.5874,39.56,35.108000000000004,73.24,88.43
NLCINDIA.NS,2.44,5.26,18.04,41.09,-15.6,0.4331,41.65,31.87,94.87,88.35
DEFENCE.NS,13.82,17.26,14.02,62.12,-0.2,0.489,28.67,42.879999999999995,127.03,88.29
DEEPINDS.NS,13.82,17.26,14.02,62.12,-0.2,0.489,28.67,42.879999999999995,127.03,88.29
ICIL.NS,12.82,17.65,28.57,38.02,-15.75,0.6252,45.7,34.24,60.81,88.28
IDEA.NS,12.82,17.65,28.57,38.02,-15.75,0.6252,45.7,34.24,60.81,88.28
RITCO.NS,2.12,7.41,33.41,28.54,-31.29,0.5154,64.82,30.488,55.37,88.22
ATHERENERG.NS,6.58,0.39,16.95,44.73,-10.37,0.4488,37.77,33.617999999999995,99.67,88.22
FONEBOX.NS,8.75,41.86,44.31,27.88,-35.56,0.6084,72.83,34.452,45.83,88.19
SEMAC.NS,10.45,0.82,21.59,49.58,-11.14,0.6545,32.99,38.384,75.75,88.18
