Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
SWASTIK.NS,-3.0,-5.86,25.8,27.62,-28.8,38.26
PLAZACABLE.NS,-3.04,-12.03,25.65,32.62,-28.689999999999998,40.9
GALAPREC.NS,12.87,18.51,25.6,34.54,-12.730000000000002,61.71
AEQUS.NS,-8.58,3.35,25.57,42.04,-34.15,40.79
TVSELECT.NS,10.0,4.59,25.29,45.11,-15.29,45.84
KINGFA.NS,4.8,12.61,25.24,41.21,-20.439999999999998,62.65
CAMLINFINE.NS,6.29,-2.88,25.22,-1.38,-18.93,40.18
PGHL.NS,15.39,19.1,25.21,28.74,-9.82,94.65
MANINFRA.NS,-4.1,-6.76,25.19,14.81,-29.29,58.12
GOODLUCK.NS,1.36,1.06,25.12,22.58,-23.76,53.93
SUZLON.NS,8.3,7.79,25.11,38.64,-16.81,69.54
MANAKSTEEL.NS,6.82,8.37,25.09,24.16,-18.27,37.22
SANSERA.NS,17.09,19.44,25.04,33.38,-7.949999999999999,51.65
ACUTAAS.NS,3.08,13.7,25.02,48.26,-21.939999999999998,54.75
BIOCON.NS,-1.15,15.57,24.94,17.63,-26.09,94.34
MUNJALAU.NS,10.22,18.33,24.83,28.73,-14.609999999999998,57.63
VILINBIO.NS,-3.08,7.79,24.83,53.08,-27.909999999999997,50.18
PANACEABIO.NS,-2.27,5.47,24.82,31.45,-27.09,43.33
PAISALO.NS,-0.96,2.65,24.81,49.04,-25.77,62.31
AUTOIND.NS,-5.01,5.59,24.78,15.06,-29.79,40.62
PSPPROJECT.NS,12.21,7.07,24.71,24.64,-12.5,56.72
MIDHANI.NS,3.38,6.76,24.69,31.18,-21.310000000000002,51.34
DTL.NS,2.77,9.0,24.66,32.44,-21.89,35.4
ESSENTIA.NS,-1.04,12.3,24.66,25.11,-25.7,32.91
SKYGOLD.NS,3.28,3.4,24.59,42.87,-21.31,49.28
UNITEDPOLY.NS,-2.32,6.49,24.59,70.99,-26.91,39.55
DBEIL.NS,12.09,2.69,24.53,11.76,-12.440000000000001,47.07
TIGERLOGS.NS,1.83,-6.72,24.48,19.79,-22.65,36.7
DENEERS.NS,-11.44,8.81,24.4,43.52,-35.839999999999996,45.91
TIPSMUSIC.NS,0.66,4.56,24.36,27.1,-23.7,67.81
JETFREIGHT.NS,7.91,16.67,24.3,32.26,-16.39,52.08
GVT&D.NS,7.81,13.7,24.19,45.11,-16.380000000000003,52.91
RML.NS,3.34,3.08,24.19,21.52,-20.85,59.95
MSPL.NS,2.84,13.47,24.18,43.51,-21.34,54.68
ADANIPORTS.NS,1.86,6.21,24.18,24.75,-22.32,71.05
GRINDWELL.NS,-1.88,18.12,24.17,20.92,-26.05,81.4
AJAXENGG.NS,1.27,9.37,24.12,26.34,-22.85,62.82
ORIENTBELL.NS,1.97,4.23,24.06,23.37,-22.09,39.0
ASHAPURMIN.NS,2.04,0.83,24.04,30.94,-22.0,40.86
SIGNPOST.NS,6.14,3.38,24.02,32.31,-17.88,50.25
VBL.NS,2.91,6.88,23.91,24.09,-21.0,78.0
ADVENZYMES.NS,-5.4,6.29,23.87,28.11,-29.270000000000003,54.64
IFBAGRO.NS,17.04,-3.16,23.84,25.11,-6.800000000000001,34.19
DCAL.NS,-7.37,6.43,23.83,17.41,-31.2,36.89
RPTECH.NS,-4.26,6.87,23.81,62.22,-28.07,58.69
KOPRAN.NS,14.6,19.84,23.76,60.06,-9.160000000000002,41.76
SUNDRMBRAK.NS,22.93,23.66,23.75,20.78,-0.8200000000000003,43.05
SUBEXLTD.NS,6.13,8.41,23.67,19.93,-17.540000000000003,44.73
KRISHIVAL.NS,4.23,12.29,23.61,33.14,-19.38,57.9
PROV.NS,-2.15,21.82,23.59,40.02,-25.74,66.32
DATAPATTNS.NS,6.84,0.98,23.48,42.1,-16.64,45.01
GRANULES.NS,2.09,8.22,23.42,38.81,-21.330000000000002,74.39
INDIGOPNTS.NS,0.52,13.34,23.4,12.06,-22.88,64.75
SURYODAY.NS,1.94,5.34,23.38,51.43,-21.439999999999998,54.39
LLOYDSME.NS,11.16,7.22,23.35,69.81,-12.190000000000001,54.64
DJML.NS,8.63,10.79,23.32,21.3,-14.69,43.88
